phrase,diacritics_phrase
"Rieux gi prietenii lui au descoperit atunci cât erau de obosiți. De fapt, oamenii","Rieux gi prietenii lui au descoperit atunci cat erau de obositi. De fapt, oamenii"
formațiilor sanitare nu mai ajungeau să digere această oboseală. Doctorul Rieux,formatiilor sanitare nu mai ajungeau sa digere aceasta oboseala. Doctorul Rieux
Își dădea seama de acest lucru observând la prietenii lui și la el însuși progresele,Isi dadea seama de acest lucru observand la prietenii lui si la el insusi progresele
"unei ciudate indiferente. De pildă, acești oameni, care până acum arătaseră un","unei ciudate indiferente. De pilda, acesti oameni, care pana acum aratasera un"
"atât de viu interes pentru toate știrile care priveau ciuma, nu se mai preocupau de","atat de viu interes pentru toate stirile care priveau ciuma, nu se mai preocupau de"
"loc de așa ceva. Rambert, care fusese însărcinat provizoriu să conducă una din","loc de asa ceva. Rambert, care fusese insarcinat provizoriu sa conduca una din"
"casele de carantină, instalată în hotelul unde locuia el, cunoștea perfect numărul","casele de carantina, instalata in hotelul unde locuia el, cunostea perfect numarul"
celor pe care îi avea sub observație. Era la curent cu cele mai mici amănunte ale,celor pe care ii avea sub observatie. Era la curent cu cele mai mici amanunte ale
sistemului de evacuare pentru cei care dădeau în mod subit semne de,sistemului de evacuare pentru cei care dadeau in mod subit semne de
mbolnăvire. Statistica efectelor serului asupra celor din carantină îi era gravată,mbolnavire. Statistica efectelor serului asupra celor din carantina ii era gravata
"în memorie. Dar era incapabil să spună cifra săptămânală a victimelor ciumei, nu","in memorie. Dar era incapabil sa spuna cifra saptamanala a victimelor ciumei, nu"
"știa realmente dacă ea era în creștere sau în scădere. Iar el, în ciuda faptelor,","stia realmente daca ea era in crestere sau in scadere. Iar el, in ciuda faptelor,"
păstra speranța unei evadări apropiate.,pastra speranta unei evadari apropiate.
"Ct despre ceilalți, absorbiți zi și noapte de munca lor, nu citeau ziarele și nu","Ct despre ceilalti, absorbiti zi si noapte de munca lor, nu citeau ziarele si nu"
"ascultau radioul. Și dacă li se anunță un rezultat, aveau aerul cai îi interesează,","ascultau radioul. Si daca li se anunta un rezultat, aveau aerul cai ii intereseaza,"
dar de fapt primeau acest rezultat cu acea indiferență distrată pe care o găsești la,dar de fapt primeau acest rezultat cu acea indiferenta distrata pe care o gasesti la
"luptătorii marilor războaie, epuizați de eforturi, silindu-se numai să nu se abată","luptatorii marilor razboaie, epuizati de eforturi, silindu-se numai sa nu se abata"
"de la fndeplinirea datoriei lor zilnice și nemaisperând nici în atacul decisiv, nici","de la fndeplinirea datoriei lor zilnice si nemaisperand nici in atacul decisiv, nici"
în ziua armistițiului.,in ziua armistitiului.
"Grand, care continua să efectueze calculele cerute de ciumă, ar fi fost cu","Grand, care continua sa efectueze calculele cerute de ciuma, ar fi fost cu"
siguranța incapabil să spună care erau rezultatele generale. Spre deosebire de,siguranta incapabil sa spuna care erau rezultatele generale. Spre deosebire de
"Tarrou, Rambert și de Rieux, în mod vizibil rezistenți la oboseală, sănătatea sa","Tarrou, Rambert si de Rieux, in mod vizibil rezistenti la oboseala, sanatatea sa"
"nu fusese niciodată bună. Or, el cumula funcția de auxiliar la primărie, de","nu fusese niciodata buna. Or, el cumula functia de auxiliar la primarie, de"
secretar la spitalul lui Rieux și mai avea și lucrarea sa nocturnă. Puteai să-l vezi,secretar la spitalul lui Rieux si mai avea si lucrarea sa nocturna. Puteai sa-l vezi
"astfel într-o continuă stare de epuizare, susținut de două sau trei idei fixe, cum ar","astfel intr-o continua stare de epuizare, sustinut de doua sau trei idei fixe, cum ar"
"fi aceea de a-și permite un concediu complet după ciuma, timp de o săptămână","fi aceea de a-si permite un concediu complet dupa ciuma, timp de o saptamana"
"cel puțin și de a munci atunci într-un fel care să-i dea rezultate pozitive, ,jos","cel putin si de a munci atunci intr-un fel care sa-i dea rezultate pozitive, ,jos"
"pălăria'', la ceea ce lucra acum. Era de asemenea cuprins de bruște înduioșări și","palaria'', la ceea ce lucra acum. Era de asemenea cuprins de bruste induiosari si"
"în aceste momente îi vorbea bucuros lui Rieux despre Jeanne, se întrebă unde","in aceste momente ii vorbea bucuros lui Rieux despre Jeanne, se intreba unde"
"putea fi ea chiar în acel moment și dacă, citind ziarele, se gândea la el. gi tocmai","putea fi ea chiar in acel moment si daca, citind ziarele, se gandea la el. gi tocmai"
cu el se pomeni Rieux vorbind într-o zi despre propria lui soție pe tonul cel mai,cu el se pomeni Rieux vorbind intr-o zi despre propria lui sotie pe tonul cel mai
"banal, ceea ce nu făcuse niciodată până atunci. Nesigur pe creditul pe care","banal, ceea ce nu facuse niciodata pana atunci. Nesigur pe creditul pe care"
"trebuia să-l acorde telegramelor liniștitoare ale soției lui, se hotărâse să","trebuia sa-l acorde telegramelor linistitoare ale sotiei lui, se hotarase sa"
"telegrafieze medicului șef al sanatoriului unde ea se îngrijea. Ca răspuns, primise","telegrafieze medicului sef al sanatoriului unde ea se ingrijea. Ca raspuns, primise"
știrea unei agravări a stării bolnavei și asigurarea că vor face totul pentru a opri,stirea unei agravari a starii bolnavei si asigurarea ca vor face totul pentru a opri
progresele răului. Păstrase pentru sine vestea și nu-și explică altfel decât prin,progresele raului. Pastrase pentru sine vestea si nu-si explica altfel decat prin
"oboseala faptul că putuse s-o spună lui Grand. Funcționarul, după ce îi vorbise","oboseala faptul ca putuse s-o spuna lui Grand. Functionarul, dupa ce ii vorbise"
"de Jeanne, fl întrebase de soția lui și Rieux îi răspunsese. ,Știți, zise Grand, asta","de Jeanne, fl intrebase de sotia lui si Rieux ii raspunsese. ,Stiti, zise Grand, asta"
"se vindecă foarte repede acum.'' Și Rieux convenise, zicând numai ca despărțirea","se vindeca foarte repede acum.'' Si Rieux convenise, zicand numai ca despartirea"
"începea să fie lungă și că el ar fi ajutat-o poate pe soția lui să-și învingă boala, în","incepea sa fie lunga si ca el ar fi ajutat-o poate pe sotia lui sa-si invinga boala, in"
timp ce acuma ea trebuie să se simtă foarte singură. Apoi tăcuse și nu mai,timp ce acuma ea trebuie sa se simta foarte singura. Apoi tacuse si nu mai
răspunsese decât evaziv la întrebările lui Grand.,raspunsese decat evaziv la intrebarile lui Grand.
"Ceilalți erau fn aceeași stare. Tarrou rezistă mai bine, dar carnetele lui arată că,","Ceilalti erau fn aceeasi stare. Tarrou rezista mai bine, dar carnetele lui arata ca,"
"dacă curiozitatea să nu scăzuse totuși în adâncime, ea pierduse în diversitate. În","daca curiozitatea sa nu scazuse totusi in adancime, ea pierduse in diversitate. In"
"timpul acestei întregi perioade, într-adevăr el nu s-a interesat aparent decât de","timpul acestei intregi perioade, intr-adevar el nu s-a interesat aparent decat de"
"Cottard. Seara, la Rieux, unde se instalase până la urmă, de când hotelul fusese","Cottard. Seara, la Rieux, unde se instalase pana la urma, de cand hotelul fusese"
"transformat în casa de carantină, abia dacă îl asculta pe Grand sau pe doctor când","transformat in casa de carantina, abia daca il asculta pe Grand sau pe doctor cand"
aceștia anunțau rezultatele. El readucea imediat conversația asupra micilor,acestia anuntau rezultatele. El readucea imediat conversatia asupra micilor
mărunțișuri ale vieții oraneze care îl preocupau în general.,maruntisuri ale vietii oraneze care il preocupau in general.
"Ct despre Castel, în ziua în care a venit să-l anunțe pe doctor că serul era gata","Ct despre Castel, in ziua in care a venit sa-l anunte pe doctor ca serul era gata"
"și după ce hotărâseră să facă prima încercare asupra băiețelului domnului Othon,","si dupa ce hotarasera sa faca prima incercare asupra baietelului domnului Othon,"
"pe care tocmai îl aduseseră la spital și al cărui caz îi părea lui Rieux disperat, în","pe care tocmai il adusesera la spital si al carui caz ii parea lui Rieux disperat, in"
"timp ce acesta îi comunică bătrânului său prieten ultimele cifre statistice, și-a dat","timp ce acesta ii comunica batranului sau prieten ultimele cifre statistice, si-a dat"
"seama că interlocutorul său adormise adânc în fundul fotoliului. Și, înaintea","seama ca interlocutorul sau adormise adanc in fundul fotoliului. Si, inaintea"
acestui chip pe care de obicei un aer de blândețe și ironie așternea o expresie de,acestui chip pe care de obicei un aer de blandete si ironie asternea o expresie de
"veșnică tinerețe și care, brusc relaxat, cu un firișor de salivă lunecând printre","vesnica tinerete si care, brusc relaxat, cu un firisor de saliva lunecand printre"
"buzele întredeschise, lasă să se vadă uzura și bătrânețea, Rieux simți cum ise","buzele intredeschise, lasa sa se vada uzura si batranetea, Rieux simti cum ise"
urcă un nod în gât.,urca un nod in gat.
Numai după asemenea slăbiciuni putea Rieux să-și dea seama cât era de obosit.,Numai dupa asemenea slabiciuni putea Rieux sa-si dea seama cat era de obosit.
"Sensibilitatea îi scăpă de sub control. Ferecată în cea mai mare parte a timpului,","Sensibilitatea ii scapa de sub control. Ferecata in cea mai mare parte a timpului,"
"împietrită și uscată, ea izbucnea din când în când și l lăsă pradă unor emoții pe","impietrita si uscata, ea izbucnea din cand in cand si l lasa prada unor emotii pe"
care el nu mai era stăpân. Singura lui apărare era de a se refugia în această,care el nu mai era stapan. Singura lui aparare era de a se refugia in aceasta
împietrire și de a strânge și mai mult acel nod încordat care se formase în el. Știa,impietrire si de a strange si mai mult acel nod incordat care se formase in el. Stia
"foarte bine că era singurul fel potrivit de a continua. În rest, nu-și făcea multe","foarte bine ca era singurul fel potrivit de a continua. In rest, nu-si facea multe"
iluzii și oboseala i le ștergea și pe cele pe care încă le mai păstra. Fiindcă el știa,iluzii si oboseala i le stergea si pe cele pe care inca le mai pastra. Fiindca el stia
"ca, pentru o perioadă al cărei sfârșit nu-l întrezărea, rolul lui nu mai era de a","ca, pentru o perioada al carei sfarsit nu-l intrezarea, rolul lui nu mai era de a"
"lecui. Rolul lui era de a diagnostica. Să descopere, să vadă, să descrie, să","lecui. Rolul lui era de a diagnostica. Sa descopere, sa vada, sa descrie, sa"
"înregistreze, apoi să condamne, asta era sarcina lui. Unele soții îl apucau de","inregistreze, apoi sa condamne, asta era sarcina lui. Unele sotii il apucau de"
"mâna și urlau: ,Domnule doctor, salvați-i viața''. Dar el nu venise acolo ca să","mana si urlau: ,Domnule doctor, salvati-i viata''. Dar el nu venise acolo ca sa"
"salveze vieți, el venise ca să ordone izolarea. La ce folosea ura pe care o citea","salveze vieti, el venise ca sa ordone izolarea. La ce folosea ura pe care o citea"
"atunci pe chipuri? ,N-aveți inimal' fi spusese cineva într-o zi. Ba da, aveao","atunci pe chipuri? ,N-aveti inimal' fi spusese cineva intr-o zi. Ba da, aveao"
inima. Îi folosea ca să suporte cele douăzeci de ore pe zi în care vedea murind,inima. Ii folosea ca sa suporte cele douazeci de ore pe zi in care vedea murind
oameni care erau făcuți să trăiască. Îi folosea ca s-o ia de la capăt în fiecare zi.,oameni care erau facuti sa traiasca. Ii folosea ca s-o ia de la capat in fiecare zi.
"De-aici înainte, el avea exact atâta inima câtă îi trebuia pentru asta. Cum să-i fi","De-aici inainte, el avea exact atata inima cata ii trebuia pentru asta. Cum sa-i fi"
ajuns această inimă ca să salveze vieți?,ajuns aceasta inima ca sa salveze vieti?
"Nu, nu ajutoare distribuia el de-a lungul zilei, ci lămuriri. Asta nu putea să se","Nu, nu ajutoare distribuia el de-a lungul zilei, ci lamuriri. Asta nu putea sa se"
"numească o meserie de om, bineînțeles. Dar, la urma urmei, cui oare, din această","numeasca o meserie de om, bineinteles. Dar, la urma urmei, cui oare, din aceasta"
"mulțime terorizată și decimată, i se îngăduia să-și exercite meseria de om? Tot","multime terorizata si decimata, i se ingaduia sa-si exercite meseria de om? Tot"
"era bine că avea parte de oboseală. Dacă Rieux ar fi fost mai odihnit, acest miros","era bine ca avea parte de oboseala. Daca Rieux ar fi fost mai odihnit, acest miros"
de moarte răspândit peste tot ar fi putut să-l facă sentimental. Dar când n-ai,de moarte raspandit peste tot ar fi putut sa-l faca sentimental. Dar cand n-ai
"dormit decât patru ore nu ești sentimental. Vezi lucrurile așa cum sunt, adică le","dormit decat patru ore nu esti sentimental. Vezi lucrurile asa cum sunt, adica le"
"vezi conform dreptății, hidoasă și derizoria dreptate. Iar ceilalți, cei condamnați,","vezi conform dreptatii, hidoasa si derizoria dreptate. Iar ceilalti, cei condamnati,"
simțeau gi ei același lucru. Înainte de ciumail primeau ca pe un salvator. El avea,simteau gi ei acelasi lucru. Inainte de ciumail primeau ca pe un salvator. El avea
să aranjeze totul cu trei pilule și o seringă și îi strângeau brațul conducându-l de-,sa aranjeze totul cu trei pilule si o seringa si ii strangeau bratul conducandu-l de-
"a lungul culoarelor. Era măgulitor, dar primejdios. Acum, dimpotrivă, se","a lungul culoarelor. Era magulitor, dar primejdios. Acum, dimpotriva, se"
prezența cu soldați și era nevoie de lovituri cu patul puștii ca familia să se,prezenta cu soldati si era nevoie de lovituri cu patul pustii ca familia sa se
hotărască să deschidă. Ei ar fi vrut să-l ia cu ei și să ia cu ei în mormânt întreagă,hotarasca sa deschida. Ei ar fi vrut sa-l ia cu ei si sa ia cu ei in mormant intreaga
"omenire. Și era, vai, foarte adevărat că oamenii nu se puteau lipsi unii de alții, ca","omenire. Si era, vai, foarte adevarat ca oamenii nu se puteau lipsi unii de altii, ca"
era la fel de lipsit de mijloace ca și acești nenorociți și că avea dreptul la aceeași,era la fel de lipsit de mijloace ca si acesti nenorociti si ca avea dreptul la aceeasi
cutremurare de milă pe care o simțea crescând fn el când îi părăsea.,cutremurare de mila pe care o simtea crescand fn el cand ii parasea.
"Cel puțin, acestea erau gândurile care îl frământau pe doctorul Rieux o dată cu","Cel putin, acestea erau gandurile care il framantau pe doctorul Rieux o data cu"
cele care priveau starea lui de exilat în timpul acestor interminabile săptămâni. Și,cele care priveau starea lui de exilat in timpul acestor interminabile saptamani. Si
acestea erau și gândurile pe care le putea citi și pe fețele prietenilor săi. Dar cel,acestea erau si gandurile pe care le putea citi si pe fetele prietenilor sai. Dar cel
mai primejdios efect al istovirii care îi cuprindea puțin câte puțin pe toți cei care,mai primejdios efect al istovirii care ii cuprindea putin cate putin pe toti cei care
continuau această luptă împotriva flagelului nu constă în indiferență fați de,continuau aceasta lupta impotriva flagelului nu consta in indiferenta fati de
"evenimentele exterioare și de emoțiile celorlalți, ci în neglijență în voia căreia se","evenimentele exterioare si de emotiile celorlalti, ci in neglijenta in voia careia se"
lăsau. Căci aveau atunci tendința de a evita toate gesturile care nu era strict,lasau. Caci aveau atunci tendinta de a evita toate gesturile care nu era strict
folositoare și care li se păreau întotdeauna mai presus de puterile lor. i astfel,folositoare si care li se pareau intotdeauna mai presus de puterile lor. i astfel
acești oameni ajunseseră să neglijeze din ce în ce mai des regulile de igienă pe,acesti oameni ajunsesera sa neglijeze din ce in ce mai des regulile de igiena pe
"care ei înșiși le instituiseră, să uite unele din numeroasele dezinfectări pe care","care ei insisi le instituisera, sa uite unele din numeroasele dezinfectari pe care"
"trebuiau să le practice asupra lor înșiși, să alerge uneori, fără a fi apărați","trebuiau sa le practice asupra lor insisi, sa alerge uneori, fara a fi aparati"
"împotriva contagiunii, la bolnavii atinși de ciuma pulmonară, din pricină că,","impotriva contagiunii, la bolnavii atinsi de ciuma pulmonara, din pricina ca,"
"preveniți în ultimul moment că trebuie să se ducă în case infectate, li se păruse","preveniti in ultimul moment ca trebuie sa se duca in case infectate, li se paruse"
din capul locului istovitor să se mai întoarcă fn vreun punct sanitar unde să-și,din capul locului istovitor sa se mai intoarca fn vreun punct sanitar unde sa-si
"facă instilațiile necesare. Asta era adevărată primejdie, căci atunci lupta însăși","faca instilatiile necesare. Asta era adevarata primejdie, caci atunci lupta insasi"
"împotriva ciumei îi făcea cei mai vulnerabili în fața ei. Ei mizău, în cele din","impotriva ciumei ii facea cei mai vulnerabili in fata ei. Ei mizau, in cele din"
"urmă, pe hazard și hazardul nu e al nimănui.","urma, pe hazard si hazardul nu e al nimanui."
"Există totuși în oray un om care nu părea nici istovit, nici descurajat și care","Exista totusi in oray un om care nu parea nici istovit, nici descurajat si care"
"întruchipa imaginea vie a satisfacției. Era Cottard. El continuă să stea deoparte,","intruchipa imaginea vie a satisfactiei. Era Cottard. El continua sa stea deoparte,"
păstrând în același timp relațiile cu ceilalți. Dar el se oprise asupra lui Tarrou pe,pastrand in acelasi timp relatiile cu ceilalti. Dar el se oprise asupra lui Tarrou pe
"care îl vedea pe cât de des îi permitea munca acestuia, pe de o parte din pricină","care il vedea pe cat de des ii permitea munca acestuia, pe de o parte din pricina"
"cai Tarrou era bine informat asupra cazului lui și, pe de altă parte, pentru că","cai Tarrou era bine informat asupra cazului lui si, pe de alta parte, pentru ca"
acesta știa să-l primească pe micul rentier cu o cordialitate neschimbată. Era un,acesta stia sa-l primeasca pe micul rentier cu o cordialitate neschimbata. Era un
"veșnic miracol, dar Tarrou, în ciuda muncii grele pe care o depunea, rămânea tot","vesnic miracol, dar Tarrou, in ciuda muncii grele pe care o depunea, ramanea tot"
"binevoitor și atent. Chiar atunci când, în unele seri, era zdrobit de oboseală, el","binevoitor si atent. Chiar atunci cand, in unele seri, era zdrobit de oboseala, el"
"revenea a doua zi cu forțe proaspete. ,Cu asta, îi spusese Cottard lui Rambert, se","revenea a doua zi cu forte proaspete. ,Cu asta, ii spusese Cottard lui Rambert, se"
"poate sta de vorbă, e un om. Te fntelege întotdeauna.''","poate sta de vorba, e un om. Te fntelege intotdeauna.''"
"Iată de cenotele lui Tarrou, în această perioadă, converg încet-încet spre","Iata de cenotele lui Tarrou, in aceasta perioada, converg incet-incet spre"
persoana lui Cottard. Tarrou a încercat să dea un tablou al reacțiilor și reflecțiilor,persoana lui Cottard. Tarrou a incercat sa dea un tablou al reactiilor si reflectiilor
"lui Cottard, așa cum îi erau destăinuite de caitre acesta din urmă, sau așa cum le","lui Cottard, asa cum ii erau destainuite de caitre acesta din urma, sau asa cum le"
"interpreta el. Sub rubrică ,Raporturile lui Cottard cu ciuma'', acest tablou ocupă","interpreta el. Sub rubrica ,Raporturile lui Cottard cu ciuma'', acest tablou ocupa"
câteva pagini din carnet și naratorul crede că este util să facă aici o expunere,cateva pagini din carnet si naratorul crede ca este util sa faca aici o expunere
sumara asupra lor. Opinia generală a lui Tarrou asupra micului rentier se rezuma,sumara asupra lor. Opinia generala a lui Tarrou asupra micului rentier se rezuma
"la această judecată: ,Este un personaj care crește, capătă importanță.'' Aparent,","la aceasta judecata: ,Este un personaj care creste, capata importanta.'' Aparent,"
"de altfel, creștea întru bună dispoziție. Cottard nu era nemulțumit de întorsătură","de altfel, crestea intru buna dispozitie. Cottard nu era nemultumit de intorsatura"
"pe care o luau evenimentele. El exprimă uneori, față de Tarrou, fondul gândirii","pe care o luau evenimentele. El exprima uneori, fata de Tarrou, fondul gandirii"
"sale, prin remarci de acest gen: ,,Desigur, nu e mai bine. Dar cel puțin toată","sale, prin remarci de acest gen: ,,Desigur, nu e mai bine. Dar cel putin toata"
"lumea e în aceeași oală.'' ,Bineînțeles, adăugă Tarrou, este amenințat ca și","lumea e in aceeasi oala.'' ,Bineinteles, adauga Tarrou, este amenintat ca si"
"ceilalți, dar tocmai asta e, că e amenințat împreună cu ceilalți. Și apoi, sunt sigur","ceilalti, dar tocmai asta e, ca e amenintat impreuna cu ceilalti. Si apoi, sunt sigur"
că nu se gândește în mod serios c-ar putea să fie atins de ciumă. Are aerul că,ca nu se gandeste in mod serios c-ar putea sa fie atins de ciuma. Are aerul ca
"trăiește cu această idee, nu atât de prostească de altfel, ca un om în prada unei","traieste cu aceasta idee, nu atat de prosteasca de altfel, ca un om in prada unei"
"boli grave sau a unei temeri adânci este, prin însuși acest fapt, scutit de toate","boli grave sau a unei temeri adanci este, prin insusi acest fapt, scutit de toate"
"celelalte boli sau temeri. Ați observat, mi-a spus el, că bolile nu pot fi","celelalte boli sau temeri. Ati observat, mi-a spus el, ca bolile nu pot fi"
"cumulate?' Să presupunem că aveți o boală gravă sau nevindecabilă, un cancer","cumulate?' Sa presupunem ca aveti o boala grava sau nevindecabila, un cancer"
"serios sau o tuberculoză țeapănă, n-o să vă îmbolnăviți niciodată de ciumă sau de","serios sau o tuberculoza teapana, n-o sa va imbolnaviti niciodata de ciuma sau de"
"tifos, e imposibil. De altfel, asta e valabil și mai departe, deoarece n-am văzut","tifos, e imposibil. De altfel, asta e valabil si mai departe, deoarece n-am vazut"
niciodată un canceros murind într-un accident de automobil.o Adevărata sa,niciodata un canceros murind intr-un accident de automobil.o Adevarata sa
"greșită, această idee îi creează lui Cottard o foarte bună dispoziție. Singurul lucru","gresita, aceasta idee ii creeaza lui Cottard o foarte buna dispozitie. Singurul lucru"
pe care nu-l dorește este să fie despărțit de ceilalți. Prefera să fie asediat,pe care nu-l doreste este sa fie despartit de ceilalti. Prefera sa fie asediat
împreună cu toți ceilalți decât prizonier de unul singur. Cât ține ciuma nu mai,impreuna cu toti ceilalti decat prizonier de unul singur. Cat tine ciuma nu mai
"poate fi vorba de anchete secrete, de dosare, de fișe, de instrucții juridice","poate fi vorba de anchete secrete, de dosare, de fise, de instructii juridice"
"misterioase, de arestări iminente. Propriu-zis, numai există poliție, crime vechi","misterioase, de arestari iminente. Propriu-zis, numai exista politie, crime vechi"
"sau noi, nu mai există vinovați, nu mai există decât condamnați care așteaptă cea","sau noi, nu mai exista vinovati, nu mai exista decat condamnati care asteapta cea"
"mai arbitrară dintre grațieri și printre ei polițiștii înșiși.'' Astfel, Cottard și tot","mai arbitrara dintre gratieri si printre ei politistii insisi.'' Astfel, Cottard si tot"
"conform interpretării lui Tarrou, era îndreptățit să privească simptomele de","conform interpretarii lui Tarrou, era indreptatit sa priveasca simptomele de"
neliniște și de zăpăceala pe care le prezentau concetățenii noștri cu acea,neliniste si de zapaceala pe care le prezentau concetatenii nostri cu acea
"satisfacție indulgentă și înțelegătoare care se putea exprima printr-un: ,Dați-i","satisfactie indulgenta si intelegatoare care se putea exprima printr-un: ,Dati-i"
"înainte, eu am trecut prin asta înaintea voastrai''.","inainte, eu am trecut prin asta inaintea voastrai''."
",Degeaba i-am spus că singurul mod de anu fi despărțit de ceilalți este la urmă",",Degeaba i-am spus ca singurul mod de anu fi despartit de ceilalti este la urma"
"urmei de a avea o conștiință curată, m-a privit răutăcios și mi-a spus: Atunci,","urmei de a avea o constiinta curata, m-a privit rautacios si mi-a spus: Atunci,"
"dacă e s-o iei așa, nimeni nu este niciodată cu nimeni. Singurul mod de a-i uni pe","daca e s-o iei asa, nimeni nu este niciodata cu nimeni. Singurul mod de a-i uni pe"
"oameni rămâne tot acela de a le trimite ciuma. Ia uitați-vă în jur.n i, într-adevăr,","oameni ramane tot acela de a le trimite ciuma. Ia uitati-va in jur.n i, intr-adevar,"
înțeleg foarte bine ce vrea să spună și cât de ușoară și tihnită trebuie să i se pară,inteleg foarte bine ce vrea sa spuna si cat de usoara si tihnita trebuie sa i se para
"lui viața în aceste zile. Cum să nu recunoască el, trecând pe lângă ele, reacțiile","lui viata in aceste zile. Cum sa nu recunoasca el, trecand pe langa ele, reactiile"
care au fost și ale lui; tentativa pe care fiecare o face de a avea pe toată lumea de,care au fost si ale lui; tentativa pe care fiecare o face de a avea pe toata lumea de
partea lui; bunăvoința care se depune uneori pentru informațiile date unui,partea lui; bunavointa care se depune uneori pentru informatiile date unui
trecător rătăcit și reaua dispoziție care i se arată alteori; năvala oamenilor spre,trecator ratacit si reaua dispozitie care i se arata alteori; navala oamenilor spre
"restaurantele de lux, satisfacția lor de a se afla acolo și de a sta cât mai mult fn","restaurantele de lux, satisfactia lor de a se afla acolo si de a sta cat mai mult fn"
"ele; afluența dezordonată cu care fac coadă, în fiecare zi, la cinema, cu care","ele; afluenta dezordonata cu care fac coada, in fiecare zi, la cinema, cu care"
"umplu toate sălile de spectacol și chiar dancingurile, afluența care se întinde ca o","umplu toate salile de spectacol si chiar dancingurile, afluenta care se intinde ca o"
revărsare de apă dezlănțuită în toate locurile publice; darea înapoi dinaintea,revarsare de apa dezlantuita in toate locurile publice; darea inapoi dinaintea
"oricărei atingeri, dorința de căldură umană care împinge totuși oamenii unii spre","oricarei atingeri, dorinta de caldura umana care impinge totusi oamenii unii spre"
"alții, trup langă trup, bărbat lângă femeie Cottard a cunoscut toate acestea","altii, trup langa trup, barbat langa femeie Cottard a cunoscut toate acestea"
"înaintea lor, e evident. În afară de femei, fiindcă așa cum arată el. .. Și eu","inaintea lor, e evident. In afara de femei, fiindca asa cum arata el. .. Si eu"
"presupun că atunci când s-a simțit pe punctul de a vizita anumite fete, s-a abținut","presupun ca atunci cand s-a simtit pe punctul de a vizita anumite fete, s-a abtinut"
"ca să nu-i facă un nume prost, care ar fi putut apoi să-i dăuneze.","ca sa nu-i faca un nume prost, care ar fi putut apoi sa-i dauneze."
"Într-un cuvânt, ciuma îi priește. Dintr-un om singuratic și care nu voia să fie","Intr-un cuvant, ciuma ii prieste. Dintr-un om singuratic si care nu voia sa fie"
"singuratic, ea face un complice. Căci, în mod vizibil, el e un complice și încă un","singuratic, ea face un complice. Caci, in mod vizibil, el e un complice si inca un"
"complice care este fascinat. E complice la tot ce vede, la superstiții, la spaimele","complice care este fascinat. E complice la tot ce vede, la superstitii, la spaimele"
"nemotivate, la susceptibilitățile acestor suflete în alarmă; la mânia lor de a dori","nemotivate, la susceptibilitatile acestor suflete in alarma; la mania lor de a dori"
să discute cât mai puțin posibil despre ciumă și de a nu înceta totodată să,sa discute cat mai putin posibil despre ciuma si de a nu inceta totodata sa
discute; la ieșirea lor din minți și la paloarea lor la cea mai mică durere de cap de,discute; la iesirea lor din minti si la paloarea lor la cea mai mica durere de cap de
"când știau că boala începe prin cefalee; și la sensibilitatea lor iritată, susceptibilă,","cand stiau ca boala incepe prin cefalee; si la sensibilitatea lor iritata, susceptibila,"
"schimbătoare, în sfârșit, care transformă în jignire o simplă uitare și care se","schimbatoare, in sfarsit, care transforma in jignire o simpla uitare si care se"
mâhnește de pierderea unuinăsture la pantaloni.,mahneste de pierderea unuinasture la pantaloni.
I se fntâmplă adesea lui Tarrou să iasă seara cu Cottard. El povestea apoi în,I se fntampla adesea lui Tarrou sa iasa seara cu Cottard. El povestea apoi in
carnetele sale cum se pierdeau în mulțimea întunecată din ceasurile amurgului,carnetele sale cum se pierdeau in multimea intunecata din ceasurile amurgului
"sau ale nopții, umăr lângă umăr, scufundându-se că într-o masă albă și neagră în","sau ale noptii, umar langa umar, scufundandu-se ca intr-o masa alba si neagra in"
"care, din loc în loc, o lampă aruncă sclipiri rare și însoțind turma umană spre","care, din loc in loc, o lampa arunca sclipiri rare si insotind turma umana spre"
"plăcerile fierbinți care o apărau împotriva frigului ciumei. Ceea ce Cottard, cu","placerile fierbinti care o aparau impotriva frigului ciumei. Ceea ce Cottard, cu"
"câteva luni mai înainte, caută în locurile publice, luxul și viața largă, acel ceva la","cateva luni mai inainte, cauta in locurile publice, luxul si viata larga, acel ceva la"
"care visa fără să și-l poată satisface, adică plăcerea neînfrânată, în brațele ei se","care visa fara sa si-l poata satisface, adica placerea neinfranata, in bratele ei se"
"zvârlea acum un popor întreg. Deși prețul oricărui lucru urcă fără încetare,","zvarlea acum un popor intreg. Desi pretul oricarui lucru urca fara incetare,"
"niciodată nu se cheltuiseră atâția bani și, în vreme ce strictul necesar lipsea celor","niciodata nu se cheltuisera atatia bani si, in vreme ce strictul necesar lipsea celor"
"mai mulți, nicicând nu fusese mai bine risipit prisosul. Se vedeau înmulțindu-se","mai multi, nicicand nu fusese mai bine risipit prisosul. Se vedeau inmultindu-se"
toate formele vesele ale unei trândăvii care nu era de fapt decât șomaj. Tarrou și,toate formele vesele ale unei trandavii care nu era de fapt decat somaj. Tarrou si
"Cottard urmăreau câteodată, timp de minute întregi, una din acele perechi de","Cottard urmareau cateodata, timp de minute intregi, una din acele perechi de"
"îndrăgostiți care mai înainte se străduiau să ascundă ceea ce fi lega și care, în","indragostiti care mai inainte se straduiau sa ascunda ceea ce fi lega si care, in"
